id,name,lat,lon,bikes,empty_docks,docks,query_time,proportion
BikePoints_364,"Store Street, Bloomsbury",51.519572,-0.13214,0,32,32,2022-01-30 07:39:00,0.0
BikePoints_228,"St. James's Square, St. James's",51.507424,-0.134621,22,18,40,2022-01-30 07:39:00,0.55
BikePoints_756,"Prince of Wales Drive, Battersea Park",51.475153,-0.159169,12,9,21,2022-01-30 07:39:00,0.5714285714285714
BikePoints_28,"Bolsover Street, Fitzrovia",51.523518,-0.143613,16,2,19,2022-01-30 07:39:00,0.8947368421052632
BikePoints_457,"Castlehaven Road, Camden Town",51.542138,-0.145393,27,2,29,2022-01-30 07:39:00,0.9310344827586207
BikePoints_640,"Silverthorne Road, Battersea",51.472865,-0.148059,3,24,28,2022-01-30 07:39:00,0.14285714285714285
BikePoints_155,"Lexham Gardens, Kensington",51.495866,-0.191933,2,17,19,2022-01-30 07:39:00,0.10526315789473684
BikePoints_47,"Warwick Avenue Station, Maida Vale",51.523344,-0.183846,8,11,19,2022-01-30 07:39:00,0.42105263157894735
BikePoints_164,"Cleveland Gardens, Bayswater",51.515607,-0.183118,9,7,16,2022-01-30 07:39:00,0.5625
BikePoints_227,"Great Percy Street, Clerkenwell",51.528915,-0.11548,22,0,23,2022-01-30 07:39:00,1.0
BikePoints_128,"Emperor's Gate, South Kensington",51.495362,-0.185296,8,12,22,2022-01-30 07:39:00,0.45454545454545453
BikePoints_770,"Gwendwr Road, West Kensington",51.491026,-0.209121,10,20,30,2022-01-30 07:39:00,0.3333333333333333
BikePoints_558,"Page Street, Westminster",51.493978,-0.127554,14,10,24,2022-01-30 07:39:00,0.5833333333333334
BikePoints_622,"Lansdowne Road, Ladbroke Grove",51.507481,-0.205535,14,15,29,2022-01-30 07:39:00,0.4827586206896552
BikePoints_13,"Scala Street, Fitzrovia",51.519914,-0.136039,0,21,21,2022-01-30 07:39:00,0.0
BikePoints_568,"Bishop's Bridge Road West, Bayswater",51.51616,-0.18697,15,3,18,2022-01-30 07:39:00,0.8333333333333334
BikePoints_806,"Handyside Street, King's Cross",51.53724,-0.124807,9,16,27,2022-01-30 07:39:00,0.4074074074074074
BikePoints_497,"Merchant Street, Bow",51.526578,-0.027581,13,14,27,2022-01-30 07:39:00,0.48148148148148145
BikePoints_423,"Eaton Square (South), Belgravia",51.494561,-0.153933,25,5,31,2022-01-30 07:39:00,0.8387096774193549
BikePoints_421,"Southwark Station 2, Southwark",51.504044,-0.104778,21,24,45,2022-01-30 07:39:00,0.4666666666666667
BikePoints_836,"York Way, Kings Cross",51.541596,-0.125441,15,8,24,2022-01-30 07:39:00,0.6666666666666666
BikePoints_517,"Ford Road, Old Ford",51.532513,-0.033085,14,2,17,2022-01-30 07:39:00,0.8823529411764706
BikePoints_713,"Hawley Crescent, Camden Town",51.541007,-0.14326,11,11,22,2022-01-30 07:39:00,0.5
BikePoints_25,"Doric Way , Somers Town",51.528833,-0.13225,11,34,50,2022-01-30 07:39:00,0.32
BikePoints_245,"Grosvenor Road, Pimlico",51.485357,-0.142207,9,20,29,2022-01-30 07:39:00,0.3103448275862069
BikePoints_812,"Here East North, Queen Elizabeth Olympic Park",51.548731,-0.022606,23,4,28,2022-01-30 07:39:00,0.8571428571428571
BikePoints_595,"Hammersmith Road, Hammersmith",51.493267,-0.21985,15,6,21,2022-01-30 07:39:00,0.7142857142857143
